Log,mixer_temperature_outlet,ac_flowrate,cp_temperature_fresh,cp_temperature,mixer_pressure,mixer_torque_M2,cp_pressure,mixer_speed_M1,mixer_motor_temperature_M1,cp_flowrate,mixer_speed_M2,mixer_motor_temperature_M2,mixer_torque_M1,Time
1,25.7,159.0,24.2,21.8,0.289,4.191,0.725,119.204,20.0,3.0,119.204,21.6,3.814,10:49:33.258
2,23.7,159.0,22.8,21.8,0.281,3.323,0.641,120.754,19.8,3.0,120.754,21.8,3.738,10:49:34.358
3,25.8,159.0,24.2,21.9,0.288,4.04,0.679,119.935,20.4,3.0,119.935,22.3,2.945,10:49:35.478
4,23.7,159.0,22.8,23.3,0.291,2.983,0.741,119.996,19.8,3.0,119.996,22.3,2.832,10:49:36.584
5,23.7,159.0,22.8,23.3,0.266,3.927,0.684,120.576,19.8,3.0,120.576,22.5,2.756,10:49:37.700
6,25.8,159.0,24.2,21.9,0.276,3.549,0.707,119.564,20.0,3.0,119.564,21.6,4.607,10:49:38.806
7,23.7,159.0,22.8,23.3,0.294,3.889,0.72,119.785,19.5,3.0,119.785,22.3,2.908,10:49:39.911
8,25.8,159.0,22.8,21.9,0.264,3.512,0.64,119.547,20.0,3.0,119.547,22.3,2.756,10:49:41.017
9,23.7,159.0,22.8,21.9,0.298,2.454,0.688,119.854,20.4,3.0,119.854,22.0,3.587,10:49:42.125
10,23.7,159.0,22.8,23.3,0.276,5.702,0.734,119.933,20.9,3.0,119.933,22.3,2.492,10:49:43.231
11,25.8,159.0,24.3,21.9,0.288,4.078,0.658,119.406,20.4,3.0,119.406,22.0,4.682,10:49:44.335
12,23.7,159.0,22.8,23.4,0.291,3.587,0.726,119.755,19.5,3.0,119.755,22.3,2.794,10:49:45.438
13,23.7,159.0,22.8,21.9,0.284,3.323,0.701,120.034,20.2,3.0,120.034,21.8,3.965,10:49:46.546
14,25.8,159.0,22.8,21.9,0.281,3.134,0.619,120.714,20.2,3.0,120.714,21.6,2.568,10:49:47.655
15,23.7,159.0,22.8,21.9,0.259,3.323,0.676,119.686,20.0,3.0,119.686,22.5,3.247,10:49:48.754
16,25.8,159.0,24.2,21.9,0.256,3.889,0.721,120.308,20.4,3.0,120.308,22.3,3.172,10:49:49.859
17,23.7,159.0,22.8,23.4,0.275,4.229,0.658,119.947,19.3,3.0,119.947,22.3,2.605,10:49:50.968
18,23.7,159.0,22.8,21.9,0.278,2.454,0.731,120.083,20.2,3.0,120.083,22.3,2.681,10:49:52.074
19,23.7,159.0,22.8,21.9,0.28,3.814,0.717,120.152,19.8,3.0,120.152,22.3,2.945,10:49:53.178
20,23.7,159.0,22.8,23.4,0.314,3.889,0.619,119.533,20.0,3.0,119.533,22.5,3.7,10:49:54.285
21,25.8,159.0,24.3,22.0,0.308,3.776,0.757,119.864,20.4,3.0,119.864,21.8,4.607,10:49:55.392
22,23.7,159.0,22.8,23.4,0.298,4.38,0.698,119.991,20.7,3.0,119.991,22.3,3.134,10:49:56.500
23,23.7,159.0,22.8,22.0,0.259,3.172,0.648,120.448,19.3,3.0,120.448,22.3,3.247,10:49:57.606
24,25.8,159.0,24.3,22.0,0.264,4.947,0.75,119.953,20.4,3.0,119.953,22.5,2.379,10:49:58.715
25,23.7,159.0,22.8,23.4,0.295,3.474,0.656,121.566,19.8,3.0,121.566,22.3,2.945,10:49:59.815
26,25.8,159.0,24.3,22.0,0.283,4.418,0.691,120.006,19.8,3.0,120.006,22.3,3.549,10:50:00.926
27,23.7,159.0,22.8,23.4,0.303,3.852,0.751,119.708,19.5,3.0,119.708,22.5,3.323,10:50:02.031
28,23.7,159.0,22.8,22.0,0.28,3.625,0.701,120.211,20.0,3.0,120.211,22.3,2.983,10:50:03.136
29,25.8,159.0,22.8,22.0,0.283,3.738,0.676,119.807,20.0,3.0,119.807,22.3,3.21,10:50:04.239
30,23.7,159.0,22.8,23.4,0.294,3.889,0.719,120.115,19.8,3.0,120.115,22.7,3.323,10:50:05.346
31,25.8,159.0,24.3,22.0,0.289,3.965,0.664,120.105,19.8,3.0,120.105,22.3,3.361,10:50:06.450
32,23.7,159.0,22.8,23.4,0.284,3.096,0.712,120.183,19.8,3.0,120.183,22.5,3.965,10:50:07.562
33,23.7,159.0,22.8,22.0,0.298,4.04,0.758,120.287,20.4,3.0,120.287,22.7,2.605,10:50:08.665
34,25.8,159.0,22.8,22.0,0.288,3.927,0.678,119.57,20.4,3.0,119.57,22.9,2.643,10:50:09.769
35,23.7,159.0,22.8,23.4,0.276,3.285,0.682,119.585,19.8,3.0,119.585,22.3,3.7,10:50:10.874
36,25.8,159.0,24.3,22.0,0.298,3.587,0.709,120.283,20.0,3.0,120.283,22.0,2.832,10:50:11.980
37,23.7,159.0,22.8,23.5,0.284,2.719,0.643,120.147,19.8,3.0,120.147,22.3,2.945,10:50:13.080
38,23.7,159.0,22.8,22.0,0.289,2.87,0.686,120.509,20.7,3.0,120.509,22.3,2.454,10:50:14.187
39,25.8,159.0,22.8,22.0,0.273,3.096,0.736,119.769,20.7,3.0,119.769,22.5,3.247,10:50:15.294
40,23.7,159.0,22.8,23.5,0.276,3.776,0.653,120.007,20.4,3.0,120.007,22.3,3.663,10:50:16.394
41,23.7,159.0,24.3,22.0,0.289,3.663,0.706,119.922,20.4,3.0,119.922,22.3,2.794,10:50:17.514
42,25.8,159.0,22.8,22.0,0.28,3.134,0.712,120.628,20.4,3.0,120.628,22.7,2.983,10:50:18.637
43,23.7,159.0,22.8,23.5,0.227,3.285,0.658,119.721,19.8,3.0,119.721,22.3,3.323,10:50:19.743
44,23.8,159.0,24.3,22.1,0.298,3.7,0.703,121.434,20.4,3.0,121.434,22.7,3.663,10:50:20.846
45,23.7,159.0,22.8,23.5,0.283,4.682,0.721,119.91,20.0,3.0,119.91,22.3,3.096,10:50:21.952
46,23.7,159.0,22.8,22.1,0.288,3.021,0.667,119.82,20.0,3.0,119.82,22.7,4.116,10:50:23.053
47,25.8,159.0,22.8,22.1,0.288,2.87,0.734,120.014,20.4,3.0,120.014,22.3,4.078,10:50:24.155
48,23.7,159.0,22.8,22.1,0.283,3.247,0.697,119.729,20.2,3.0,119.729,22.7,3.172,10:50:25.273
49,23.7,159.0,24.3,22.1,0.256,3.436,0.667,119.822,20.9,3.0,119.822,22.5,3.965,10:50:26.380
50,23.7,159.0,22.9,23.5,0.278,3.927,0.748,119.841,20.7,3.0,119.841,22.7,3.512,10:50:27.482
51,23.7,159.0,22.8,22.1,0.248,3.059,0.745,120.01,20.0,3.0,120.01,22.7,3.663,10:50:28.602
52,23.7,159.0,24.3,22.1,0.276,3.549,0.648,119.824,20.0,3.0,119.824,22.9,2.719,10:50:29.710
53,25.8,159.0,22.9,23.5,0.286,3.474,0.754,119.178,20.9,3.0,119.178,22.7,3.965,10:50:30.819
54,23.8,159.0,22.9,22.1,0.293,3.323,0.676,121.586,20.0,3.0,121.586,22.7,3.021,10:50:31.924
55,25.8,159.0,22.9,22.1,0.288,3.852,0.691,119.889,19.8,3.0,119.889,22.7,3.738,10:50:33.029
56,23.8,159.0,22.9,22.1,0.289,2.417,0.739,119.921,20.7,3.0,119.921,22.5,3.474,10:50:34.133
57,23.8,159.0,22.9,22.1,0.269,3.776,0.703,119.75,20.2,3.0,119.75,22.3,3.549,10:50:35.239
58,25.8,159.0,22.9,23.5,0.286,3.927,0.679,120.503,20.4,3.0,120.503,22.7,3.663,10:50:36.345
59,23.8,159.0,22.9,22.1,0.288,4.116,0.715,120.216,19.5,3.0,120.216,22.3,3.21,10:50:37.464
60,23.8,159.0,22.9,22.1,0.28,2.643,0.676,119.871,20.4,3.0,119.871,22.7,3.172,10:50:38.564
61,23.8,159.0,22.9,23.5,0.264,3.474,0.709,120.022,20.2,3.0,120.022,22.7,5.098,10:50:39.667
62,23.8,159.0,24.4,22.1,0.256,3.889,0.758,119.666,20.4,3.0,119.666,22.7,3.361,10:50:40.771
63,25.9,159.0,22.9,23.6,0.269,3.852,0.669,119.798,20.9,3.0,119.798,22.7,3.247,10:50:41.876
64,23.8,159.0,24.3,22.1,0.286,4.191,0.72,120.244,20.4,3.0,120.244,22.5,3.927,10:50:42.981
65,23.8,159.0,22.9,22.1,0.266,3.021,0.731,119.722,20.4,3.0,119.722,22.9,3.889,10:50:44.087
66,25.9,159.0,22.9,23.6,0.256,4.003,0.671,119.755,20.4,3.0,119.755,22.9,2.719,10:50:45.193
67,23.8,159.0,24.3,22.1,0.275,2.983,0.717,119.017,20.2,3.0,119.017,22.7,5.437,10:50:46.300
68,25.9,159.0,22.9,23.5,0.286,3.398,0.743,119.622,20.2,3.0,119.622,22.5,3.965,10:50:47.409
69,23.8,159.0,22.9,22.1,0.288,3.398,0.663,119.613,20.4,3.0,119.613,22.7,3.361,10:50:48.512
70,23.8,159.0,22.9,22.1,0.295,2.681,0.702,119.64,20.0,3.0,119.64,22.5,3.852,10:50:49.627
71,25.9,159.0,22.9,23.6,0.266,3.7,0.72,119.809,20.7,3.0,119.809,22.7,3.549,10:50:50.732
72,23.8,159.0,24.4,22.1,0.289,3.7,0.638,120.43,20.4,3.0,120.43,22.9,3.134,10:50:51.840
73,23.8,159.0,22.9,22.1,0.303,3.889,0.671,119.777,19.8,3.0,119.777,22.3,3.059,10:50:52.944
74,23.8,159.0,22.9,22.1,0.289,3.021,0.73,119.994,20.9,3.0,119.994,22.7,3.361,10:50:54.050
75,23.8,159.0,24.4,22.2,0.28,6.117,0.645,120.547,20.4,3.0,120.547,22.3,2.908,10:50:55.157
76,25.9,159.0,22.9,23.6,0.271,3.21,0.715,119.722,20.4,3.0,119.722,22.7,2.643,10:50:56.260
77,23.8,159.0,24.4,22.2,0.3,3.323,0.734,119.974,21.1,3.0,119.974,23.2,2.983,10:50:57.364
78,23.8,159.0,22.9,22.2,0.286,3.285,0.63,119.92,20.7,3.0,119.92,22.9,3.398,10:50:58.484
79,25.9,159.0,22.9,22.2,0.248,2.908,0.735,120.633,20.4,3.0,120.633,22.9,2.87,10:50:59.590
80,23.8,159.0,22.9,22.2,0.276,3.247,0.701,120.287,20.4,3.0,120.287,22.7,2.341,10:51:00.690
81,25.9,159.0,22.9,23.6,0.293,3.927,0.641,119.206,20.7,3.0,119.206,22.3,4.154,10:51:01.798
82,23.8,159.0,22.9,22.2,0.288,3.7,0.754,119.656,20.4,3.0,119.656,22.7,3.398,10:51:02.906
83,23.8,159.0,24.4,22.2,0.286,3.7,0.658,119.7,20.4,3.0,119.7,22.7,3.814,10:51:04.039
84,23.8,159.0,22.9,22.2,0.25,3.889,0.681,120.027,20.9,3.0,120.027,22.7,2.983,10:51:05.143
85,25.9,159.0,22.9,23.6,0.261,3.814,0.764,119.911,20.7,3.0,119.911,22.7,3.247,10:51:06.247
86,23.8,159.0,22.9,22.2,0.276,3.738,0.714,120.187,20.4,3.0,120.187,22.9,3.323,10:51:07.349
87,25.9,159.0,22.9,23.6,0.288,3.852,0.671,119.978,20.4,3.0,119.978,22.7,2.756,10:51:08.458
88,23.8,159.0,24.4,22.2,0.308,2.945,0.726,119.716,20.0,3.0,119.716,22.7,4.003,10:51:09.558
89,23.8,159.0,22.9,22.2,0.303,3.172,0.653,119.942,21.1,3.0,119.942,22.9,4.003,10:51:10.675
90,25.9,159.0,23.0,22.2,0.247,4.078,0.703,119.764,20.7,3.0,119.764,22.7,3.172,10:51:11.774
91,25.9,159.0,23.0,23.7,0.245,4.531,0.731,120.079,20.9,3.0,120.079,23.2,3.625,10:51:12.910
92,23.8,159.0,23.0,22.2,0.289,3.436,0.667,119.925,20.4,3.0,119.925,23.4,2.87,10:51:14.017
93,23.8,159.0,23.0,22.2,0.27,3.436,0.693,120.178,20.7,3.0,120.178,22.7,2.87,10:51:15.147
94,25.9,159.0,23.0,22.2,0.273,3.21,0.73,119.819,20.4,3.0,119.819,22.5,2.53,10:51:16.250
95,23.8,159.0,23.0,22.2,0.276,3.474,0.636,120.191,21.1,3.0,120.191,22.7,3.096,10:51:17.357
96,23.8,159.0,23.0,23.7,0.293,3.625,0.709,120.057,20.7,3.0,120.057,22.9,3.323,10:51:18.463
97,25.9,159.0,23.0,22.2,0.278,3.285,0.743,120.577,20.7,3.0,120.577,23.2,3.738,10:51:19.581
98,23.8,159.0,23.0,22.3,0.275,4.04,0.658,120.162,20.4,3.0,120.162,23.4,2.341,10:51:20.681
99,25.9,159.0,23.0,22.2,0.278,4.305,0.715,119.109,20.4,3.0,119.109,22.7,3.587,10:51:21.787
100,23.8,159.0,23.0,22.3,0.28,3.738,0.73,119.948,20.7,3.0,119.948,22.7,3.549,10:51:22.890
101,23.8,159.0,23.0,23.7,0.275,3.663,0.654,119.758,20.7,3.0,119.758,23.2,3.134,10:51:23.997
102,25.9,159.0,23.0,22.3,0.247,3.059,0.721,120.994,20.4,3.0,120.994,22.9,3.549,10:51:25.103
103,23.8,159.0,23.0,22.3,0.27,4.456,0.725,119.983,20.7,3.0,119.983,22.7,2.417,10:51:26.207
104,23.8,159.0,23.0,23.7,0.271,4.154,0.656,119.427,21.1,3.0,119.427,23.2,4.191,10:51:27.338
105,25.9,159.0,23.0,22.3,0.266,3.663,0.734,119.905,20.4,3.0,119.905,23.2,2.908,10:51:28.446
106,23.8,159.0,23.0,22.3,0.305,2.945,0.688,119.912,20.9,3.0,119.912,22.7,3.474,10:51:29.549
107,23.8,159.0,23.0,23.7,0.28,3.059,0.635,119.805,20.7,3.0,119.805,22.7,3.059,10:51:30.670
108,25.9,159.0,23.0,23.7,0.25,3.512,0.73,118.93,20.9,3.0,118.93,23.2,5.173,10:51:31.793
109,25.9,159.0,23.0,22.3,0.295,4.003,0.714,119.915,20.7,3.0,119.915,22.7,4.116,10:51:32.913
110,23.8,159.0,23.0,22.3,0.299,3.436,0.693,119.547,21.1,3.0,119.547,22.5,3.21,10:51:34.015
111,23.8,159.0,23.0,22.3,0.28,3.549,0.736,118.847,20.2,3.0,118.847,22.5,3.625,10:51:35.150
112,25.9,159.0,23.0,22.3,0.25,3.21,0.641,119.561,20.9,3.0,119.561,23.2,2.605,10:51:36.251
113,25.9,159.0,24.5,22.3,0.261,4.154,0.684,119.571,20.7,3.0,119.571,22.9,3.134,10:51:37.382
114,23.9,159.0,23.0,22.3,0.284,3.361,0.736,119.712,20.7,3.0,119.712,23.2,3.247,10:51:38.490
115,25.9,159.0,23.0,22.3,0.247,3.172,0.676,120.228,21.1,3.0,120.228,22.9,3.512,10:51:39.591
116,23.8,159.0,24.5,22.3,0.273,3.323,0.703,119.908,20.9,3.0,119.908,23.2,3.059,10:51:40.701
117,23.8,159.0,23.0,22.3,0.308,3.436,0.697,120.482,20.7,3.0,120.482,22.7,2.756,10:51:41.823
118,23.9,159.0,23.0,23.8,0.295,4.947,0.66,120.468,20.7,3.0,120.468,22.7,2.87,10:51:42.947
119,26.0,159.0,24.5,22.3,0.298,3.134,0.72,118.7,20.4,3.0,118.7,22.9,4.758,10:51:44.052
120,23.9,159.0,23.0,22.3,0.298,4.003,0.707,119.861,20.7,3.0,119.861,23.2,3.323,10:51:45.174
121,23.9,159.0,23.0,23.8,0.271,3.738,0.682,119.659,21.1,3.0,119.659,22.7,3.436,10:51:46.273
122,26.0,159.0,23.1,22.3,0.276,3.852,0.676,119.785,20.2,3.0,119.589,23.2,4.342,10:51:47.391
123,23.9,159.0,23.1,22.3,0.283,3.625,0.712,119.684,21.3,3.0,119.684,23.2,3.663,10:51:48.498
124,23.9,159.0,23.1,23.8,0.261,2.983,0.659,119.854,20.9,3.0,119.854,22.9,3.776,10:51:49.604
125,25.9,159.0,23.1,22.3,0.273,4.04,0.693,119.591,21.3,3.0,119.591,22.9,2.303,10:51:50.724
126,23.9,159.0,24.5,22.4,0.284,3.512,0.709,119.75,21.1,3.0,121.72,22.7,2.719,10:51:51.839
127,23.9,159.0,23.1,23.8,0.269,4.682,0.66,120.013,21.1,3.0,119.914,22.9,2.832,10:51:52.948
128,26.0,159.0,24.5,22.3,0.293,2.983,0.776,120.632,20.9,3.0,120.632,23.2,3.549,10:51:54.055
129,23.9,159.0,23.1,22.4,0.283,3.587,0.706,120.49,20.9,3.0,120.49,23.4,3.323,10:51:55.159
130,23.9,159.0,23.1,23.8,0.261,3.965,0.645,119.259,20.9,3.0,119.259,23.2,3.361,10:51:56.282
131,26.0,159.0,24.5,22.4,0.281,3.398,0.701,120.084,20.4,3.0,120.084,23.2,3.285,10:51:57.387
132,23.9,159.0,23.1,22.4,0.314,3.549,0.703,119.784,20.9,3.0,119.784,22.9,2.832,10:51:58.493
133,26.0,159.0,23.1,22.4,0.273,3.134,0.648,120.262,20.9,3.0,120.262,22.9,4.116,10:51:59.595
134,23.9,159.0,23.1,22.4,0.294,4.267,0.743,120.341,20.7,3.0,120.341,23.6,2.341,10:52:00.698
135,23.9,159.0,23.1,23.8,0.284,3.361,0.671,120.298,20.9,3.0,120.298,23.6,3.134,10:52:01.816
136,26.0,159.0,23.1,22.4,0.27,4.003,0.649,120.926,21.6,3.0,120.926,23.2,3.134,10:52:02.927
137,23.9,159.0,24.6,22.4,0.295,4.229,0.71,119.162,20.9,3.0,119.162,23.2,4.38,10:52:04.032
138,23.9,159.0,23.1,22.4,0.299,3.587,0.714,119.961,20.7,3.0,119.961,23.4,3.285,10:52:05.136
139,26.0,159.0,24.6,22.4,0.25,3.134,0.664,119.829,21.3,3.0,119.829,23.6,2.983,10:52:06.242
140,23.9,159.0,23.1,23.8,0.309,3.436,0.715,120.72,20.4,3.0,120.72,23.6,3.7,10:52:07.347
141,25.9,159.0,23.1,22.4,0.276,4.003,0.664,119.832,20.9,3.0,119.832,22.9,3.398,10:52:08.452
142,23.8,159.0,23.1,22.4,0.283,2.87,0.678,120.06,20.7,3.0,120.06,23.6,4.04,10:52:09.562
143,23.8,159.0,23.1,23.8,0.289,3.398,0.759,120.649,20.9,3.0,120.649,23.6,2.454,10:52:10.680
144,23.8,159.0,23.1,22.4,0.276,4.003,0.649,119.917,20.9,3.0,119.917,23.2,3.21,10:52:11.802
145,23.8,159.0,23.1,22.4,0.286,3.852,0.714,119.965,20.4,3.0,119.965,23.6,2.643,10:52:12.907
146,23.8,159.0,23.1,23.8,0.288,3.738,0.731,119.737,21.3,3.0,119.737,23.2,3.436,10:52:14.023
147,25.9,159.0,23.1,22.4,0.261,2.643,0.684,120.116,21.3,3.0,120.116,23.6,2.568,10:52:15.126
148,25.9,159.0,24.6,22.4,0.288,3.549,0.707,119.569,21.3,3.0,119.569,23.2,2.341,10:52:16.253
149,23.8,159.0,23.1,23.8,0.286,3.474,0.754,120.043,20.9,3.0,120.043,23.8,3.398,10:52:17.358
150,23.8,159.0,23.1,23.8,0.283,3.474,0.654,119.631,20.7,3.0,119.631,23.8,3.096,10:52:18.480
151,23.8,159.0,23.1,22.4,0.273,3.436,0.715,120.23,21.3,3.0,120.23,23.2,3.549,10:52:19.602
152,23.8,159.0,23.1,22.4,0.259,3.474,0.734,119.92,21.3,3.0,119.92,23.2,3.096,10:52:20.705
153,23.8,159.0,23.1,22.4,0.276,3.436,0.635,119.661,20.9,3.0,119.661,23.6,2.87,10:52:21.811
154,23.8,159.0,24.6,22.4,0.284,3.512,0.745,120.352,21.3,3.0,120.352,23.4,2.832,10:52:22.933
155,23.8,159.0,23.2,23.8,0.314,3.852,0.71,119.748,20.7,3.0,119.748,23.8,3.738,10:52:24.034
156,23.8,159.0,23.1,23.9,0.27,2.908,0.676,119.924,20.9,3.0,119.924,23.2,2.945,10:52:25.155
157,25.9,159.0,24.6,22.4,0.273,3.663,0.731,119.736,21.8,3.0,119.736,23.2,2.568,10:52:26.262
158,25.9,159.0,23.2,22.4,0.26,4.229,0.692,119.82,20.4,3.0,119.82,23.2,2.605,10:52:27.393
159,25.9,159.0,23.2,22.4,0.289,4.04,0.656,119.956,21.3,3.0,119.956,23.4,4.305,10:52:28.519
160,23.8,159.0,23.2,22.4,0.289,2.832,0.736,119.993,20.9,3.0,119.993,23.4,2.643,10:52:29.625
161,25.9,159.0,24.6,22.4,0.291,3.398,0.696,119.331,20.4,3.0,119.331,23.6,3.059,10:52:30.730
162,23.8,159.0,23.2,23.9,0.308,3.889,0.654,121.247,20.7,3.0,121.247,23.2,2.605,10:52:31.838
163,23.8,159.0,23.2,23.9,0.333,3.625,0.715,119.715,21.3,3.0,119.715,23.2,3.247,10:52:32.978
164,23.8,159.0,23.2,22.4,0.276,2.908,0.682,120.652,20.7,3.0,120.652,23.4,3.7,10:52:34.097
165,23.8,159.0,24.6,22.4,0.273,4.796,0.664,119.767,21.1,3.0,119.767,23.4,2.001,10:52:35.208
166,25.9,159.0,23.2,22.4,0.316,3.587,0.745,120.339,20.9,3.0,120.339,23.6,3.059,10:52:36.327
167,23.8,159.0,23.2,22.5,0.283,3.398,0.696,120.061,20.9,3.0,120.061,23.8,2.681,10:52:37.431
168,23.8,159.0,24.6,22.5,0.276,3.21,0.682,120.123,21.8,3.0,120.123,23.8,3.889,10:52:38.547
169,23.8,159.0,23.2,23.9,0.288,3.625,0.72,119.893,21.6,3.0,119.893,23.2,2.53,10:52:39.651
170,23.8,159.0,23.2,23.9,0.293,3.625,0.653,118.126,21.3,3.0,118.126,23.6,5.286,10:52:40.787
171,23.8,159.0,24.7,22.4,0.284,4.116,0.701,119.953,21.6,3.0,119.953,23.8,2.568,10:52:41.890
172,23.8,159.0,23.2,22.4,0.28,4.116,0.725,119.812,21.8,3.0,119.812,23.6,3.549,10:52:43.010
173,25.9,159.0,23.2,23.9,0.304,3.776,0.646,119.922,21.3,3.0,119.922,24.1,3.021,10:52:44.131
174,23.8,159.0,23.2,23.9,0.286,3.436,0.692,119.509,21.6,3.0,119.509,23.2,2.19,10:52:45.238
175,23.8,159.0,23.2,22.5,0.283,3.436,0.714,120.025,21.3,3.0,120.025,23.4,3.738,10:52:46.353
176,25.9,159.0,23.2,23.9,0.313,4.04,0.649,119.95,21.3,3.0,119.95,23.2,2.87,10:52:47.475
177,23.8,159.0,23.2,23.9,0.278,3.021,0.736,119.879,21.3,3.0,119.879,23.6,3.549,10:52:48.597
178,23.8,159.0,24.7,22.5,0.288,4.116,0.734,119.682,20.9,3.0,119.682,23.4,2.568,10:52:49.701
179,25.9,159.0,23.2,22.5,0.283,3.361,0.648,120.364,21.8,3.0,120.364,23.6,2.605,10:52:50.822
180,25.9,159.0,23.2,23.9,0.284,4.003,0.734,120.242,21.1,3.0,120.242,23.6,2.605,10:52:51.941
181,23.8,159.0,24.7,22.5,0.286,3.172,0.696,119.761,21.6,3.0,119.761,23.4,3.512,10:52:53.052
182,23.8,159.0,23.2,22.5,0.281,4.456,0.669,120.112,20.9,3.0,120.112,23.8,3.398,10:52:54.173
183,25.9,159.0,23.2,22.5,0.256,4.267,0.724,119.805,20.9,3.0,119.805,23.2,3.323,10:52:55.275
184,23.8,159.0,24.7,22.5,0.284,4.078,0.724,119.788,21.1,3.0,119.788,23.8,2.719,10:52:56.389
185,23.8,159.0,23.2,22.5,0.28,3.587,0.671,119.68,21.3,3.0,119.68,24.1,2.87,10:52:57.496
186,23.8,159.0,23.2,22.5,0.286,3.361,0.743,120.185,21.6,3.0,120.185,23.8,3.512,10:52:58.599
187,23.8,159.0,24.7,22.5,0.28,4.607,0.653,119.83,21.1,3.0,119.83,23.8,3.096,10:52:59.717
188,23.9,159.0,23.2,22.5,0.275,3.738,0.719,121.654,21.6,3.0,121.654,23.6,2.832,10:53:00.841
189,25.9,159.0,23.2,23.9,0.289,4.569,0.748,120.159,21.1,3.0,120.159,23.6,2.568,10:53:01.955
190,23.9,159.0,23.2,22.5,0.273,2.605,0.688,120.06,21.6,3.0,120.06,23.2,2.53,10:53:03.075
191,23.9,159.0,24.7,22.5,0.278,3.285,0.697,119.736,21.3,3.0,119.736,23.8,2.568,10:53:04.192
192,23.9,159.0,23.2,22.5,0.256,3.738,0.72,120.376,21.3,3.0,120.376,23.6,2.983,10:53:05.312
193,26.0,159.0,23.2,22.5,0.293,3.927,0.649,119.962,20.9,3.0,119.962,23.6,3.21,10:53:06.420
194,23.9,159.0,24.7,22.5,0.286,3.285,0.729,119.917,21.8,3.0,119.917,23.8,3.549,10:53:07.540
195,23.9,159.0,23.2,22.5,0.283,3.814,0.731,120.444,21.3,3.0,120.444,23.8,3.436,10:53:08.665
196,23.9,159.0,23.2,24.0,0.265,3.814,0.673,119.528,21.6,3.0,119.528,23.6,3.436,10:53:09.771
197,23.9,159.0,23.2,22.5,0.28,4.305,0.696,119.949,22.0,3.0,119.949,23.8,3.512,10:53:10.878
198,23.9,159.0,23.2,22.5,0.286,2.832,0.706,119.754,21.3,3.0,119.754,23.6,3.549,10:53:11.997
199,23.9,159.0,23.2,24.0,0.278,2.794,0.663,120.077,22.3,3.0,120.077,24.1,3.587,10:53:13.102
200,26.0,159.0,23.2,22.5,0.254,3.474,0.707,119.843,21.3,3.0,119.843,23.8,2.719,10:53:14.207
201,23.9,159.0,23.2,22.5,0.266,3.776,0.726,121.629,21.3,3.0,121.629,23.6,3.285,10:53:15.324
202,26.0,159.0,23.2,22.5,0.298,3.398,0.648,119.736,21.3,3.0,119.736,23.8,2.832,10:53:16.431
203,23.9,159.0,23.2,22.5,0.303,4.003,0.707,119.585,21.3,3.0,119.585,23.8,3.7,10:53:17.531
204,23.9,159.0,23.2,24.0,0.273,3.361,0.712,119.695,21.3,3.0,119.695,23.8,3.361,10:53:18.635
205,26.0,159.0,23.2,22.5,0.264,3.814,0.664,119.61,21.1,3.0,119.61,23.8,2.379,10:53:19.751
206,23.9,159.0,23.2,22.5,0.286,3.096,0.736,120.011,21.8,3.0,120.011,23.8,2.832,10:53:20.868
207,23.9,159.0,23.2,24.0,0.284,3.361,0.701,119.743,21.8,3.0,119.743,24.3,3.549,10:53:21.986
208,23.9,159.0,23.2,22.5,0.294,2.719,0.698,119.141,21.3,3.0,119.141,23.8,3.436,10:53:23.141
209,23.9,159.0,23.2,24.0,0.283,4.493,0.741,119.577,21.6,3.0,119.577,24.3,3.814,10:53:24.274
210,23.9,159.0,23.2,24.0,0.291,3.7,0.673,120.014,20.9,3.0,120.014,24.3,3.965,10:53:25.397
211,26.0,159.0,23.2,22.5,0.276,4.078,0.691,119.875,22.5,3.0,119.875,24.3,4.644,10:53:26.517
212,26.0,159.0,24.7,22.5,0.291,3.814,0.763,119.982,20.9,3.0,119.982,24.1,2.794,10:53:27.635
213,23.9,159.0,23.2,22.5,0.283,3.398,0.656,119.782,21.6,3.0,119.782,24.3,3.021,10:53:28.759
214,23.9,159.0,23.2,24.0,0.28,3.814,0.686,119.653,21.3,3.0,119.653,23.6,2.983,10:53:29.875
215,23.9,159.0,23.2,22.5,0.286,3.21,0.717,119.828,21.1,3.0,119.828,24.3,3.285,10:53:31.000
216,26.0,159.0,24.7,22.5,0.288,2.643,0.676,120.09,21.3,3.0,120.09,23.8,3.096,10:53:32.120
217,23.9,159.0,23.2,22.5,0.28,4.116,0.71,119.884,21.8,3.0,119.884,24.3,3.474,10:53:33.278
218,26.0,159.0,23.2,22.6,0.289,4.267,0.707,120.205,21.8,3.0,120.205,23.8,3.549,10:53:34.396
219,23.9,159.0,23.2,22.6,0.273,3.512,0.663,119.904,21.1,3.0,119.904,24.1,3.361,10:53:35.517
220,24.0,159.0,23.2,24.0,0.303,2.945,0.71,119.799,21.3,3.0,119.799,23.8,3.096,10:53:36.634
221,24.0,159.0,23.2,24.0,0.259,4.191,0.741,119.606,21.3,3.0,119.606,24.1,4.003,10:53:37.771
222,26.0,159.0,24.7,22.5,0.266,4.191,0.621,120.173,22.5,3.0,120.173,24.3,3.134,10:53:38.879
223,24.0,159.0,23.2,22.6,0.284,3.663,0.697,119.736,22.0,3.0,119.736,23.8,2.568,10:53:39.997
