Log,sup_admixture_pump_set_flush_flowrate,sup_admixture_pump_flush_on,sup_admixture_pump_check_duration,sup_admixture_pump_set_check_flowrate,sup_admixture_pump_check_on,sup_admixture_pump_set_dosing_factor,sup_admixture_pump_set_flowrate,sup_admixture_pump_set_run,sup_admixture_pump_on,sup_admixture_pump_max_flowrate,sup_admixture_pump_no_error,sup_admixture_pump_is_ready,sup_admixture_pump_is_run,admixture_pump_set_flush_flowrate,admixture_pump_flush_on,admixture_pump_check_duration,admixture_pump_set_check_flowrate,admixture_pump_check_on,admixture_pump_set_dosing_factor,admixture_pump_set_flowrate,admixture_pump_set_run,admixture_pump_on,admixture_max_flowrate,admixture_pump_no_error,admixture_pump_is_ready,admixture_pump_is_run,concrete_pump_set_dosing_factor,concrete_pump_set_speed,concrete_pump_set_flowrate,concrete_pump_forward_on,concrete_pump_driver_error,concrete_pump_safety_grid_on,concrete_pump_power_on,concrete_pump_is_ready,concrete_pump_is_run,concrete_pump_pressure,concrete_pump_temperature,concrete_fresh_temperature,mixer_set_curved_mode_on,mixer_set_speed,mixer_set_run,mixer_motor_temperature_M2,mixer_motor_temperature_M1,mixer_pressure_funnel_inlet,mixer_temperature_funnel_outlet,mixer_torque_M2,mixer_torque_M1,mixer_speed_M2,mixer_speed_M1,mixer_is_ready,mixer_is_run,Time
1,0,False,0,0,False,100,1250,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,27.5,25.8,False,120,True,20.9,18.4,0.032349619269371035,25.7,4.3,2.53,119,121,True,True,10:24:10.987
2,0,False,0,0,False,100,1250,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,26.0,25.9,False,120,True,21.1,18.8,0.027588734030723573,27.8,4.38,2.38,119,121,True,True,10:24:12.021
3,0,False,0,0,False,100,1250,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,27.5,25.8,False,120,True,20.7,18.4,0.027466657757759094,27.9,4.15,3.06,120,120,True,True,10:24:13.058
4,0,False,0,0,False,100,1250,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,26.0,25.8,False,120,True,20.7,18.8,0.028809472918510437,25.8,4.49,2.79,120,120,True,True,10:24:14.086
5,0,False,0,0,False,100,1250,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,27.5,25.9,False,120,True,20.7,18.4,0.03161717653274536,27.9,4.3,3.89,120,119,True,True,10:24:15.113
6,0,False,0,0,False,100,1250,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,27.5,25.9,False,120,True,20.7,18.8,0.03320413827896118,27.9,4.64,3.96,120,119,True,True,10:24:16.142
7,0,False,0,0,False,100,1250,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,26.1,25.9,False,120,True,20.9,19.1,0.030030214786529542,25.8,4.19,3.89,120,120,True,True,10:24:17.178
8,0,False,0,0,False,100,1250,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,27.5,25.9,False,120,True,21.1,19.8,0.032593768835067746,25.9,4.15,3.29,120,120,True,True,10:24:18.206
9,0,False,0,0,False,100,1250,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,27.5,25.9,False,120,True,21.3,19.3,0.031250953674316406,25.9,4.49,3.62,120,120,True,True,10:24:19.240
10,0,False,0,0,False,100,1250,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,26.1,27.4,False,120,True,20.7,19.1,0.032593768835067746,28.0,4.15,3.25,120,120,True,True,10:24:20.274
11,0,False,0,0,False,100,1250,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,26.1,27.4,False,120,True,21.1,18.8,0.02954191863536835,25.9,4.15,3.96,122,120,True,True,10:24:21.305
12,0,False,0,0,False,100,1250,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,26.1,25.9,False,120,True,21.1,18.2,0.03088473081588745,26.0,4.46,3.62,120,120,True,True,10:24:22.340
13,0,False,0,0,False,100,1250,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,27.5,25.9,False,120,True,21.1,18.4,0.029908138513565063,26.0,3.32,4.08,120,120,True,True,10:24:23.374
