Log,cp_temperature,mixer_temperature_Funnel_outlet,ac_flowrate,cp_pressure,cp_flowrate,mixer_speed_M2,mixer_temperature_Funnel_plate,mixer_pressure,mixer_motor_temperature_M1,mixer_torque_M1,mixer_motor_temperature_M2,mixer_torque_M2,mixer_temperature_Funnel,mixer_speed_M1,Time
201,0.0,26.3,51.8,0.579,1.5,120.919,27.9,0.27,32.0,3.172,35.1,4.078,25.4,120.919,11:23:41.507
202,0.0,28.3,51.8,0.581,1.5,119.828,27.9,0.269,32.4,2.492,34.9,3.889,26.9,119.828,11:23:42.628
203,0.0,26.3,51.8,0.605,1.5,120.912,28.0,0.299,32.6,3.021,34.7,2.643,25.4,120.912,11:23:43.747
204,0.0,26.3,51.8,0.616,1.5,120.364,29.4,0.295,32.0,3.814,35.3,3.361,25.4,120.364,11:23:44.864
205,0.0,26.3,51.8,0.658,1.5,120.007,27.9,0.28,31.6,4.191,35.3,4.456,25.4,120.007,11:23:45.982
206,0.0,28.4,51.8,0.588,1.5,120.627,27.9,0.303,32.8,3.285,34.7,3.285,26.9,120.627,11:23:47.115
207,0.0,28.3,51.8,0.619,1.5,119.585,27.9,0.289,32.4,4.456,34.9,3.587,25.4,119.585,11:23:48.233
208,0.0,26.3,51.8,0.668,1.5,119.881,29.4,0.259,32.0,3.587,35.3,3.927,25.4,119.881,11:23:49.352
209,0.0,26.3,51.8,0.624,1.5,119.329,29.4,0.316,32.2,5.211,35.1,3.625,25.4,119.329,11:23:50.471
210,0.0,26.3,51.8,0.645,1.5,119.859,27.9,0.283,32.8,3.021,35.3,3.625,25.4,119.859,11:23:51.596
211,0.0,28.4,51.8,0.601,1.5,120.059,27.9,0.276,32.6,4.04,34.9,3.436,26.9,120.059,11:23:52.710
212,0.0,26.3,51.8,0.653,1.5,120.952,29.4,0.256,32.4,3.323,34.9,4.116,25.4,120.952,11:23:53.825
213,0.0,26.3,51.8,0.615,1.5,120.626,29.4,0.28,31.6,3.889,34.9,3.814,25.4,120.626,11:23:54.961
214,0.0,26.3,51.8,0.625,1.5,120.4,29.4,0.254,32.8,3.172,35.3,3.738,25.4,120.4,11:23:56.087
215,0.0,26.3,51.8,0.631,1.5,119.926,27.9,0.293,32.0,3.7,35.1,3.398,26.9,119.926,11:23:57.202
216,0.0,28.4,51.8,0.596,1.5,119.447,28.0,0.288,32.0,4.191,34.9,4.229,25.4,119.447,11:23:58.320
217,0.0,26.3,51.8,0.626,1.5,119.912,29.4,0.291,32.2,3.512,35.3,3.663,25.4,119.912,11:23:59.440
218,0.0,26.3,51.8,0.687,1.5,120.068,29.4,0.291,32.2,3.134,34.9,3.474,25.4,120.068,11:24:00.562
219,0.0,26.3,51.8,0.663,1.5,119.688,28.0,0.256,32.2,2.908,34.9,3.852,25.4,119.688,11:24:01.680
220,0.0,28.4,51.8,0.619,1.5,119.973,28.0,0.303,32.0,4.078,35.3,3.852,26.9,119.973,11:24:02.802
221,0.0,26.3,51.8,0.61,1.5,119.628,28.0,0.276,32.2,3.738,35.1,3.247,25.4,119.628,11:24:03.918
222,0.0,26.3,51.8,0.653,1.5,120.111,28.0,0.345,32.6,3.814,35.1,3.512,25.4,120.111,11:24:05.035
223,0.0,26.3,51.8,0.643,1.5,119.917,28.0,0.226,32.0,3.889,35.3,3.323,25.4,119.917,11:24:06.156
224,0.0,28.4,51.8,0.648,1.5,119.878,28.0,0.266,32.0,4.154,34.7,3.247,25.4,119.878,11:24:07.275
225,0.0,26.3,51.8,0.586,1.5,120.245,29.4,0.328,32.2,3.323,35.3,3.398,25.4,120.245,11:24:08.394
226,0.0,26.3,51.8,0.605,1.5,120.534,29.4,0.303,32.2,3.398,35.3,3.927,25.4,120.534,11:24:09.514
227,0.0,26.3,51.8,0.649,1.5,119.772,28.0,0.305,31.8,2.568,35.3,4.154,26.9,119.772,11:24:10.631
228,0.0,26.3,51.8,0.656,1.5,119.513,28.0,0.264,31.6,4.38,34.9,3.096,26.9,119.513,11:24:11.757
229,0.0,28.4,51.8,0.653,1.5,120.477,28.0,0.323,32.2,3.663,35.1,4.796,25.4,120.477,11:24:12.880
230,0.0,26.3,51.8,0.692,1.5,119.894,29.4,0.284,32.0,3.172,35.3,3.889,25.4,119.894,11:24:13.997
231,0.0,26.3,51.8,0.621,1.5,119.499,28.0,0.291,33.0,2.756,34.9,3.738,25.4,119.971,11:24:15.115
232,0.0,26.3,51.8,0.638,1.5,120.253,28.0,0.264,32.6,3.625,35.3,2.832,26.9,120.253,11:24:16.231
233,0.0,26.3,51.8,0.588,1.5,119.924,28.0,0.259,32.0,4.493,34.9,4.418,26.9,119.924,11:24:17.366
234,0.0,28.4,51.8,0.586,1.5,120.474,28.0,0.295,31.8,3.323,35.5,3.512,25.4,120.474,11:24:18.487
235,0.0,26.3,51.8,0.656,1.5,119.905,29.4,0.261,32.6,2.983,34.9,3.474,25.4,119.905,11:24:19.609
236,0.0,26.3,51.8,0.66,1.5,120.153,28.0,0.264,32.6,3.398,35.1,2.832,25.4,120.153,11:24:20.729
237,0.0,26.3,51.8,0.636,1.5,119.96,28.0,0.255,32.0,3.776,35.5,3.587,26.9,119.96,11:24:21.853
238,0.0,28.4,51.8,0.613,1.5,119.962,28.0,0.28,32.6,4.229,35.1,4.267,25.4,119.962,11:24:22.971
239,0.0,26.3,51.8,0.649,1.5,119.824,29.4,0.284,32.8,3.096,35.5,4.229,25.4,119.824,11:24:24.088
240,0.0,26.3,51.8,0.626,1.5,120.188,28.0,0.288,32.0,4.154,34.9,3.323,25.4,120.188,11:24:25.210
241,0.0,26.3,51.8,0.682,1.5,120.334,28.0,0.286,32.2,3.776,35.1,4.116,26.9,120.334,11:24:26.333
242,0.0,28.4,51.8,0.601,1.5,120.024,28.0,0.332,32.4,3.323,34.9,3.852,25.4,120.024,11:24:27.450
243,0.0,28.4,51.8,0.624,1.5,121.161,29.4,0.308,32.6,2.756,34.9,4.229,25.4,121.161,11:24:28.576
244,0.0,26.3,51.8,0.64,1.5,119.805,28.0,0.203,32.0,3.738,35.3,3.247,25.4,119.805,11:24:29.691
245,0.0,26.3,51.8,0.607,1.5,119.993,28.0,0.256,32.8,3.814,34.9,3.625,26.9,119.993,11:24:30.806
246,0.0,26.3,51.8,0.615,1.5,119.684,28.0,0.308,32.0,3.814,35.1,3.398,25.4,119.684,11:24:31.927
247,0.0,28.4,51.8,0.654,1.5,120.412,29.4,0.342,32.6,3.889,35.3,4.607,25.4,120.412,11:24:33.049
248,0.0,26.3,51.8,0.62,1.5,119.481,28.0,0.303,31.8,3.549,34.9,2.945,25.4,119.481,11:24:34.170
249,0.0,26.3,51.8,0.624,1.5,119.636,28.0,0.254,32.6,4.947,34.9,3.285,26.9,119.636,11:24:35.289
250,0.0,26.3,51.8,0.588,1.5,120.834,28.0,0.323,32.0,3.852,35.3,3.738,25.4,120.834,11:24:36.409
251,0.0,28.4,51.8,0.653,1.5,119.78,29.5,0.295,32.4,3.814,35.1,4.003,25.4,119.78,11:24:37.534
252,0.0,28.4,51.8,0.602,1.5,120.101,29.5,0.304,32.0,3.512,35.1,3.436,25.4,120.101,11:24:38.660
253,0.0,26.3,51.8,0.607,1.5,120.095,28.0,0.299,32.2,3.663,34.9,2.832,25.4,120.095,11:24:39.777
254,0.0,26.3,51.8,0.631,1.5,119.9,28.0,0.284,32.6,3.587,35.3,4.644,26.9,119.9,11:24:40.897
255,0.0,26.3,51.8,0.612,1.5,120.148,28.0,0.3,33.0,4.04,35.1,4.267,25.4,120.148,11:24:42.016
256,0.0,28.4,51.8,0.649,1.5,119.707,29.5,0.316,32.0,2.832,35.5,4.758,25.4,119.707,11:24:43.136
257,0.0,26.3,51.8,0.631,1.5,119.787,28.0,0.278,32.6,3.285,34.9,3.814,25.4,119.787,11:24:44.257
258,0.0,26.3,51.8,0.581,1.5,119.102,28.0,0.291,32.6,4.078,35.5,4.116,26.9,119.102,11:24:45.379
259,0.0,26.3,51.8,0.625,1.5,119.847,28.0,0.265,32.2,3.512,34.9,3.398,25.4,119.847,11:24:46.499
260,0.0,28.4,51.8,0.616,1.5,120.085,29.5,0.295,32.0,4.04,34.9,3.323,25.4,120.085,11:24:47.613
261,0.0,28.4,51.8,0.548,1.5,119.751,29.5,0.298,32.6,3.587,35.3,2.568,25.4,119.751,11:24:48.750
262,0.0,26.3,51.8,0.653,1.5,120.844,28.0,0.333,32.4,3.323,34.9,3.965,25.4,120.844,11:24:49.873
263,0.0,26.3,51.8,0.603,1.5,121.524,28.0,0.289,32.2,3.474,35.1,3.587,26.9,121.524,11:24:50.992
264,0.0,26.3,51.8,0.621,1.5,120.04,28.0,0.271,32.8,3.285,35.5,3.21,25.4,120.04,11:24:52.113
265,0.0,26.3,51.8,0.651,1.5,120.428,28.0,0.293,32.2,3.927,35.5,3.663,25.4,120.428,11:24:53.231
266,0.0,26.3,51.8,0.679,1.5,119.476,28.0,0.273,33.0,3.852,35.3,3.927,25.4,119.476,11:24:54.392
267,0.0,28.4,51.8,0.641,1.5,121.089,29.5,0.309,32.8,3.436,34.9,4.003,25.4,121.089,11:24:55.519
268,0.0,28.4,51.8,0.621,1.5,119.81,28.0,0.341,32.6,2.605,35.5,3.889,25.4,119.81,11:24:56.637
269,0.0,26.3,51.8,0.64,1.5,120.595,28.0,0.264,32.0,3.436,35.3,3.247,26.9,120.595,11:24:57.761
270,0.0,26.3,51.8,0.643,1.5,119.606,28.0,0.278,32.0,4.493,35.5,4.116,26.9,119.606,11:24:58.900
271,0.0,26.3,51.8,0.621,1.5,120.296,28.0,0.321,32.6,3.436,34.9,3.625,25.4,120.296,11:25:00.022
272,0.0,26.3,51.8,0.626,1.5,119.352,28.0,0.283,32.6,3.512,35.3,3.474,25.4,119.352,11:25:01.155
273,0.0,28.4,51.8,0.664,1.5,120.061,29.5,0.261,32.2,3.436,35.1,4.116,25.4,120.061,11:25:02.274
274,0.0,26.3,51.8,0.61,1.5,120.137,28.0,0.278,32.0,3.323,35.1,3.7,25.4,120.137,11:25:03.393
275,0.0,26.3,51.8,0.579,1.5,119.215,28.0,0.367,32.6,4.796,35.1,3.927,25.4,119.215,11:25:04.516
276,0.0,26.3,51.8,0.605,1.5,119.649,28.0,0.313,32.6,2.53,35.3,4.154,25.4,119.649,11:25:05.635
277,0.0,26.3,51.8,0.554,1.5,119.386,28.0,0.305,32.6,3.927,34.9,3.323,25.4,119.386,11:25:06.758
278,0.0,28.4,51.8,0.629,1.5,119.906,29.5,0.264,32.6,3.927,34.9,3.663,25.4,119.906,11:25:07.876
279,0.0,26.3,51.8,0.679,1.5,120.247,28.0,0.28,32.0,3.285,35.1,3.738,25.4,120.247,11:25:09.001
280,0.0,26.3,51.8,0.629,1.5,119.564,28.0,0.28,32.0,3.059,35.5,4.267,26.9,119.564,11:25:10.120
281,0.0,26.3,51.8,0.579,1.5,119.742,28.0,0.304,32.2,3.965,35.5,2.568,25.4,119.742,11:25:11.252
282,0.0,26.3,51.8,0.602,1.5,120.2,28.0,0.286,32.6,2.87,35.1,4.796,25.4,120.2,11:25:12.379
283,0.0,26.3,51.8,0.613,1.5,119.027,29.5,0.303,32.6,4.493,35.5,3.512,25.4,119.027,11:25:13.507
284,0.0,28.4,51.8,0.626,1.5,119.714,29.5,0.304,32.8,2.794,35.5,3.927,25.4,119.714,11:25:14.625
285,0.0,26.3,51.8,0.641,1.5,119.952,28.0,0.304,32.6,3.247,35.5,2.681,26.9,119.952,11:25:15.745
286,0.0,26.3,51.8,0.597,1.5,120.478,28.0,0.303,32.0,3.172,35.3,4.003,26.9,120.478,11:25:16.868
287,0.0,26.3,51.8,0.63,1.5,119.826,28.0,0.271,32.6,3.549,35.5,3.625,25.4,119.826,11:25:17.991
288,0.0,28.4,51.8,0.636,1.5,120.215,29.5,0.286,32.6,2.983,35.3,4.078,25.4,120.215,11:25:19.114
289,0.0,26.3,51.8,0.626,1.5,120.16,28.0,0.298,32.6,3.549,35.5,3.096,25.4,120.16,11:25:20.235
290,0.0,26.3,51.8,0.641,1.5,120.759,28.0,0.322,32.8,3.927,35.1,3.512,26.9,120.759,11:25:21.359
291,0.0,26.3,51.8,0.635,1.5,120.285,28.0,0.283,32.0,4.38,35.5,2.908,25.4,120.285,11:25:22.479
292,0.0,26.3,51.8,0.574,1.5,119.04,28.0,0.286,32.8,3.7,35.3,4.003,25.4,119.04,11:25:23.612
293,0.0,26.4,51.8,0.582,1.5,120.651,29.5,0.255,32.2,3.512,35.3,2.87,25.4,120.651,11:25:24.727
294,0.0,28.4,51.8,0.597,1.5,119.919,28.0,0.317,33.0,3.7,35.7,3.625,25.4,119.919,11:25:25.852
295,0.0,26.3,51.8,0.592,1.5,120.217,28.0,0.305,32.0,3.738,35.1,3.21,26.9,120.217,11:25:26.977
296,0.0,26.3,51.8,0.601,1.5,120.224,28.0,0.298,32.8,2.794,35.1,3.927,25.4,120.224,11:25:28.091
297,0.0,26.3,51.8,0.584,1.5,119.697,29.5,0.317,32.8,3.436,35.1,3.172,25.4,119.697,11:25:29.210
298,0.0,28.4,51.8,0.619,1.5,119.903,28.0,0.305,32.2,3.814,35.3,3.549,25.4,119.903,11:25:30.328
299,0.0,26.4,51.8,0.596,1.5,120.471,28.0,0.319,32.4,3.247,35.3,3.814,26.9,120.471,11:25:31.447
300,0.0,26.4,51.8,0.631,1.5,120.098,28.0,0.288,32.0,2.568,35.5,3.663,25.4,120.098,11:25:32.565
301,0.0,26.3,51.8,0.629,1.5,120.152,29.5,0.283,32.2,3.021,34.9,2.87,25.4,120.152,11:25:33.685
302,0.0,28.4,51.8,0.596,1.5,119.306,28.0,0.281,32.6,4.04,35.3,3.625,25.4,119.306,11:25:34.806
303,0.0,26.3,51.8,0.625,1.5,120.426,28.0,0.284,32.0,3.247,35.3,3.512,26.9,120.426,11:25:35.925
304,0.0,26.4,51.8,0.541,1.5,120.889,28.0,0.332,33.0,3.587,35.5,4.078,25.4,120.889,11:25:37.044
305,0.0,26.3,51.8,0.649,1.5,119.703,29.4,0.293,32.0,3.512,35.5,3.361,25.4,119.703,11:25:38.163
306,0.0,28.4,51.8,0.597,1.5,120.722,28.0,0.352,33.0,3.663,35.1,3.059,25.4,120.722,11:25:39.282
307,0.0,26.4,51.8,0.643,1.5,121.076,28.0,0.261,32.8,2.983,35.5,3.549,26.8,121.076,11:25:40.395
308,0.0,26.4,51.8,0.629,1.5,119.648,28.0,0.304,32.6,4.078,35.5,4.116,25.4,119.648,11:25:41.516
309,0.0,26.3,51.8,0.597,1.5,119.544,29.4,0.273,32.6,2.53,35.3,4.342,25.4,119.544,11:25:42.630
310,0.0,28.4,51.8,0.667,1.5,120.108,28.0,0.256,32.6,2.945,35.5,3.134,25.4,120.108,11:25:43.751
311,0.0,26.4,51.8,0.631,1.5,120.236,28.0,0.243,32.4,4.003,35.5,3.625,26.8,120.236,11:25:44.870
312,0.0,26.4,51.8,0.563,1.5,121.092,28.0,0.304,32.6,3.436,35.5,3.096,25.4,121.092,11:25:46.004
313,0.0,26.4,51.8,0.61,1.5,119.667,29.5,0.236,32.6,2.53,35.3,3.398,25.4,119.667,11:25:47.122
314,0.0,26.4,51.8,0.579,1.5,119.79,28.0,0.288,33.0,3.889,35.5,2.568,25.4,119.79,11:25:48.239
315,0.0,28.4,51.8,0.629,1.5,120.301,28.0,0.243,32.6,3.172,34.9,2.945,26.8,120.301,11:25:49.361
316,0.0,26.4,51.8,0.663,1.5,119.717,28.0,0.275,32.6,4.116,35.5,3.436,26.8,119.717,11:25:50.494
317,0.0,26.4,51.8,0.624,1.5,120.01,28.0,0.291,32.4,2.794,35.1,3.398,25.4,120.01,11:25:51.610
318,0.0,26.4,51.8,0.648,1.5,120.216,29.4,0.294,32.8,3.7,35.5,2.605,25.4,120.216,11:25:52.732
319,0.0,26.4,51.8,0.603,1.5,120.486,28.0,0.245,32.0,3.398,35.5,3.134,25.4,120.486,11:25:53.852
320,0.0,28.4,51.8,0.579,1.5,120.365,28.0,0.337,32.0,3.7,35.1,3.587,25.4,120.365,11:25:54.985
321,0.0,26.4,51.8,0.603,1.5,120.149,28.0,0.266,32.8,2.832,35.5,3.436,26.8,120.149,11:25:56.102
322,0.0,26.4,51.8,0.593,1.5,121.561,28.0,0.236,32.6,2.945,35.5,2.605,25.4,121.561,11:25:57.242
323,0.0,26.4,51.8,0.56,1.5,120.389,29.4,0.347,32.8,3.436,35.3,3.059,25.4,120.389,11:25:58.361
324,0.0,26.4,51.8,0.591,1.5,120.418,29.4,0.316,32.8,3.7,35.5,3.059,25.3,120.418,11:25:59.485
325,0.0,28.5,51.8,0.603,1.5,120.219,28.0,0.271,32.4,3.323,35.7,3.21,25.3,120.219,11:26:00.603
326,0.0,28.4,51.8,0.587,1.5,120.736,28.0,0.305,32.0,3.663,35.5,3.172,26.8,120.736,11:26:01.720
327,0.0,26.4,51.8,0.626,1.5,119.613,28.0,0.291,32.0,4.078,35.7,3.927,25.3,119.613,11:26:02.844
328,0.0,26.4,51.8,0.579,1.5,120.004,29.4,0.309,32.6,3.512,35.1,3.814,25.3,120.004,11:26:03.960
329,0.0,26.4,51.8,0.61,1.5,119.858,29.4,0.299,32.6,2.945,35.1,3.776,25.3,119.858,11:26:05.086
330,0.0,26.4,51.8,0.621,1.5,119.846,28.0,0.269,32.4,4.116,35.3,3.134,25.3,119.846,11:26:06.220
331,0.0,28.4,51.8,0.63,1.5,120.36,28.0,0.26,32.6,3.21,35.3,3.7,26.8,120.36,11:26:07.346
332,0.0,26.4,51.8,0.649,1.5,120.057,28.0,0.298,32.4,4.267,35.7,3.549,25.3,120.057,11:26:08.467
333,0.0,26.4,51.8,0.62,1.5,119.852,28.0,0.283,32.8,2.908,35.7,3.247,25.3,119.852,11:26:09.602
334,0.0,26.3,51.8,0.624,1.5,120.572,28.0,0.223,33.2,3.021,35.5,2.832,25.3,120.572,11:26:10.739
335,0.0,26.4,51.8,0.571,1.5,119.631,29.5,0.298,33.0,3.323,35.9,2.983,25.3,119.631,11:26:11.856
336,0.0,26.4,51.8,0.608,1.5,120.201,29.5,0.295,33.0,3.247,35.5,3.285,25.3,120.201,11:26:12.994
337,0.0,28.4,51.8,0.63,1.5,120.015,28.0,0.261,32.6,3.059,35.3,3.247,26.8,120.015,11:26:14.112
338,0.0,28.4,51.8,0.626,1.5,120.078,28.0,0.259,33.0,3.663,35.3,2.908,25.3,120.078,11:26:15.232
339,0.0,26.3,51.8,0.569,1.5,119.652,29.5,0.281,32.6,4.04,35.7,3.323,25.3,119.652,11:26:16.352
340,0.0,26.4,51.8,0.601,1.5,119.736,29.5,0.304,32.4,3.965,35.5,2.983,25.4,119.736,11:26:17.491
341,0.0,26.3,51.8,0.625,1.5,119.993,29.5,0.298,33.0,3.059,35.3,3.549,25.4,119.993,11:26:18.609
342,0.0,26.4,51.8,0.598,1.5,119.803,29.5,0.269,32.6,3.625,35.5,4.191,25.3,119.803,11:26:19.759
343,0.0,26.3,51.8,0.616,1.5,119.633,28.0,0.314,32.6,3.021,35.3,3.436,25.3,119.633,11:26:20.879
344,0.0,28.4,51.8,0.621,1.5,119.846,28.0,0.247,32.0,3.285,35.5,4.229,26.8,119.846,11:26:22.001
345,0.0,28.4,51.8,0.584,1.5,119.879,28.0,0.293,32.8,2.53,35.5,3.7,26.8,119.879,11:26:23.125
346,0.0,26.3,51.8,0.608,1.5,120.783,28.0,0.266,33.0,3.436,35.5,2.681,25.3,120.783,11:26:24.248
347,0.0,28.4,51.8,0.569,1.5,119.733,28.0,0.291,32.0,3.814,35.5,3.965,25.4,119.733,11:26:25.397
348,0.0,26.3,51.8,0.607,1.5,120.824,29.5,0.322,33.2,3.398,35.5,3.398,25.3,120.824,11:26:26.531
349,0.0,26.3,51.8,0.607,1.5,119.835,28.0,0.254,33.0,3.323,35.5,3.663,25.3,119.835,11:26:27.644
350,0.0,26.3,51.8,0.571,1.5,120.25,28.0,0.281,33.0,3.361,35.5,3.549,26.8,120.25,11:26:28.763
351,0.0,28.4,51.8,0.581,1.5,120.466,28.1,0.281,32.4,2.53,35.5,3.776,25.3,120.466,11:26:29.883
352,0.0,26.3,51.8,0.643,1.5,119.261,29.5,0.28,32.8,3.587,35.5,4.116,25.3,119.261,11:26:31.003
353,0.0,26.3,51.8,0.626,1.5,119.619,29.5,0.298,32.2,2.794,35.5,4.531,25.3,119.619,11:26:32.140
354,0.0,26.3,51.8,0.621,1.5,120.498,28.0,0.237,32.6,2.756,35.7,3.134,25.3,120.498,11:26:33.262
355,0.0,26.3,51.8,0.574,1.5,119.95,28.0,0.245,32.8,4.456,35.5,3.889,25.3,119.95,11:26:34.396
356,0.0,26.3,51.8,0.569,1.5,121.224,28.0,0.316,32.4,3.549,35.7,3.814,26.8,121.224,11:26:35.520
357,0.0,28.4,51.8,0.607,1.5,119.481,28.0,0.221,32.4,2.908,36.1,4.758,25.3,119.481,11:26:36.638
358,0.0,26.3,51.8,0.63,1.5,120.965,29.5,0.281,32.2,3.398,35.5,3.172,25.3,120.965,11:26:37.759
359,0.0,26.3,51.8,0.645,1.5,119.792,29.5,0.254,33.0,3.814,35.1,4.229,25.3,119.792,11:26:38.896
360,0.0,26.3,51.8,0.638,1.5,120.499,29.5,0.271,32.6,3.323,35.3,4.38,25.3,120.499,11:26:40.019
361,0.0,26.3,51.8,0.601,1.5,119.63,28.1,0.288,32.0,2.719,35.7,3.21,25.3,119.63,11:26:41.137
362,0.0,28.4,51.8,0.605,1.5,120.015,28.1,0.298,32.0,3.625,35.5,3.21,26.8,120.015,11:26:42.260
363,0.0,26.3,51.8,0.605,1.5,119.805,28.0,0.248,32.6,2.643,35.1,4.644,25.3,119.805,11:26:43.381
364,0.0,26.3,51.8,0.624,1.5,120.335,29.5,0.322,32.8,3.096,35.5,3.285,25.3,120.335,11:26:44.500
365,0.0,26.3,51.8,0.619,1.5,119.9,28.1,0.313,33.0,2.53,35.7,3.323,25.3,119.9,11:26:45.616
366,0.0,26.3,51.8,0.613,1.5,120.176,28.1,0.255,33.6,3.738,35.5,2.681,26.8,120.176,11:26:46.736
367,0.0,26.3,51.8,0.601,1.5,119.267,28.1,0.295,33.0,4.154,35.3,4.493,26.8,119.267,11:26:47.875
368,0.0,26.3,51.8,0.576,1.5,120.281,29.5,0.35,32.6,3.134,35.7,3.852,25.3,120.281,11:26:48.992
369,0.0,26.3,51.8,0.579,1.5,120.473,29.5,0.316,32.6,2.794,35.3,3.852,25.3,120.473,11:26:50.113
370,0.0,26.3,51.8,0.588,1.5,119.526,29.5,0.256,32.8,4.078,35.5,3.323,25.3,119.526,11:26:51.266
371,0.0,26.3,51.8,0.616,1.5,119.662,29.5,0.266,32.6,3.625,35.5,3.361,25.3,119.662,11:26:52.388
372,0.0,26.3,51.8,0.529,1.5,120.355,29.5,0.333,32.8,3.852,35.5,3.361,25.3,120.355,11:26:53.530
373,0.0,26.3,51.8,0.625,1.5,119.415,28.1,0.293,32.6,3.285,35.5,3.512,25.3,119.415,11:26:54.665
374,0.0,26.3,51.8,0.61,1.5,119.356,28.0,0.26,33.2,4.871,35.3,3.965,26.8,119.356,11:26:55.785
375,0.0,28.4,51.8,0.584,1.5,119.682,28.0,0.319,32.8,3.7,35.5,4.493,25.3,119.682,11:26:56.904
376,0.0,26.3,51.8,0.621,1.5,120.159,29.5,0.299,33.2,3.247,35.5,3.852,25.3,120.159,11:26:58.023
377,0.0,26.3,51.8,0.576,1.5,119.635,28.0,0.291,32.6,2.832,35.5,4.154,25.3,119.635,11:26:59.140
378,0.0,26.3,51.8,0.616,1.5,119.604,29.5,0.286,32.6,4.418,35.5,3.096,25.3,119.604,11:27:00.288
379,0.0,26.3,51.8,0.579,1.5,119.681,28.0,0.273,32.6,3.889,35.5,3.587,25.3,119.681,11:27:01.408
380,0.0,26.3,51.8,0.596,1.5,120.346,28.0,0.31,32.8,3.512,35.3,3.474,26.8,120.346,11:27:02.543
381,0.0,26.3,51.8,0.61,1.5,119.273,28.0,0.304,32.8,3.436,35.7,3.021,26.8,119.273,11:27:03.668
382,0.0,28.4,51.8,0.571,1.5,119.965,28.0,0.248,32.8,3.172,35.9,3.285,25.3,119.965,11:27:04.801
383,0.0,28.4,51.8,0.586,1.5,119.786,28.0,0.281,33.0,4.154,35.5,3.398,25.3,119.786,11:27:05.934
384,0.0,28.4,51.8,0.601,1.5,119.969,28.0,0.269,32.6,2.945,35.3,4.154,25.3,119.969,11:27:07.067
385,0.0,26.3,51.8,0.64,1.5,120.284,29.5,0.286,32.6,3.361,35.7,3.096,25.3,120.284,11:27:08.191
386,0.0,26.3,51.8,0.565,1.5,120.644,28.0,0.294,32.6,3.474,35.5,4.003,25.3,120.644,11:27:09.310
387,0.0,26.3,51.8,0.597,1.5,119.863,28.0,0.283,32.2,3.7,36.1,3.323,26.8,119.863,11:27:10.442
388,0.0,28.4,51.8,0.571,1.5,120.488,28.0,0.309,33.0,2.681,35.7,3.814,25.3,120.488,11:27:11.564
389,0.0,28.4,51.8,0.602,1.5,119.999,28.0,0.299,32.6,3.172,35.5,3.512,25.3,119.999,11:27:12.701
390,0.0,28.4,51.8,0.624,1.5,119.775,28.0,0.228,32.8,3.927,35.7,3.398,25.3,119.775,11:27:13.839
391,0.0,28.4,51.8,0.676,1.5,119.689,28.0,0.269,32.6,4.418,35.7,3.587,25.3,119.689,11:27:14.972
392,0.0,26.4,51.8,0.615,1.5,119.945,29.5,0.266,32.8,3.096,35.1,3.927,25.3,119.945,11:27:16.092
393,0.0,26.3,51.8,0.621,1.5,120.199,28.0,0.3,32.6,3.398,35.5,3.247,25.3,120.199,11:27:17.211
394,0.0,26.4,51.8,0.603,1.5,120.137,28.0,0.313,32.8,3.927,35.9,4.191,26.8,120.137,11:27:18.333
395,0.0,26.4,51.8,0.579,1.5,120.081,28.0,0.289,32.8,3.927,35.5,3.398,26.8,120.081,11:27:19.466
396,0.0,26.4,51.8,0.619,1.5,120.216,28.0,0.278,33.0,2.643,35.5,4.191,25.3,120.216,11:27:20.601
397,0.0,26.4,51.8,0.621,1.5,119.874,28.0,0.283,32.6,3.889,36.1,2.794,25.3,119.874,11:27:21.744
398,0.0,28.4,51.8,0.559,1.5,120.308,29.5,0.316,32.6,3.625,35.9,3.587,25.3,120.308,11:27:22.865
399,0.0,28.4,51.8,0.558,1.5,119.907,29.5,0.316,32.8,3.625,35.5,3.134,25.3,119.907,11:27:24.003
400,0.0,28.4,51.8,0.608,1.5,119.915,29.5,0.228,32.6,2.945,35.9,3.512,25.3,119.915,11:27:25.137
401,0.0,28.4,51.8,0.598,1.5,120.018,29.5,0.254,33.4,3.587,35.5,3.021,25.4,120.018,11:27:26.280
402,0.0,28.4,51.8,0.602,1.5,119.545,29.5,0.28,32.2,4.305,36.1,3.663,25.3,119.545,11:27:27.411
403,0.0,26.4,51.8,0.565,1.5,120.545,28.0,0.271,32.6,3.21,35.5,3.398,25.4,120.545,11:27:28.527
404,0.0,26.4,51.8,0.603,1.5,120.037,28.1,0.276,32.6,2.945,35.5,2.945,25.4,120.037,11:27:29.666
405,0.0,26.4,51.8,0.615,1.5,120.331,28.0,0.286,33.2,4.078,35.5,3.776,25.4,120.331,11:27:30.801
406,0.0,26.4,51.8,0.587,1.5,120.093,28.1,0.284,32.6,3.776,35.9,3.512,26.8,120.093,11:27:31.926
407,0.0,26.4,51.8,0.615,1.5,120.011,28.0,0.336,32.0,2.568,35.3,4.871,25.4,120.011,11:27:33.061
408,0.0,26.4,51.8,0.598,1.5,120.145,28.1,0.24,33.0,3.172,35.5,3.247,25.4,120.145,11:27:34.198
409,0.0,26.4,51.8,0.593,1.5,120.104,28.1,0.233,33.0,3.361,35.5,3.436,25.4,120.104,11:27:35.335
