Log,cp_temperature,mixer_temperature_Funnel_outlet,ac_flowrate,cp_pressure,cp_flowrate,mixer_speed_M2,mixer_temperature_Funnel_plate,mixer_pressure,mixer_motor_temperature_M1,mixer_torque_M1,mixer_motor_temperature_M2,mixer_torque_M2,mixer_temperature_Funnel,mixer_speed_M1,Time
47,0.0,26.4,51.8,0.607,1.5,119.382,29.1,0.276,31.6,3.474,34.5,3.247,25.3,119.382,11:20:50.669
48,0.0,28.5,51.8,0.593,1.5,119.288,27.7,0.255,31.8,5.06,34.5,3.549,26.8,119.288,11:20:51.772
49,0.0,26.4,51.8,0.645,1.5,119.974,29.1,0.3,31.8,3.059,34.9,3.663,25.3,119.974,11:20:52.878
50,0.0,26.4,51.8,0.584,1.5,119.509,27.7,0.298,31.6,4.38,34.9,3.398,25.3,119.509,11:20:53.983
51,0.0,28.5,51.8,0.621,1.5,119.945,27.7,0.273,31.4,3.172,34.3,4.003,25.3,119.945,11:20:55.089
52,0.0,26.4,51.8,0.625,1.5,120.013,27.7,0.281,31.4,3.776,34.5,3.134,25.3,120.013,11:20:56.193
53,0.0,28.5,51.8,0.613,1.5,119.605,27.7,0.28,31.8,4.04,34.7,3.21,25.3,119.605,11:20:57.294
54,0.0,26.4,51.8,0.598,1.5,119.819,29.1,0.264,31.6,3.398,34.5,3.625,25.3,119.819,11:20:58.395
55,0.0,26.4,51.8,0.631,1.5,120.079,27.7,0.319,32.0,3.361,34.5,3.398,26.8,120.079,11:20:59.500
56,0.0,26.4,51.8,0.593,1.5,119.746,27.7,0.276,31.8,3.021,34.9,3.663,25.3,119.746,11:21:00.608
57,0.0,26.4,51.8,0.634,1.5,119.862,27.7,0.353,31.8,4.003,34.7,3.398,25.3,119.862,11:21:01.712
58,0.0,28.5,51.8,0.616,1.5,120.011,27.7,0.24,32.6,3.549,34.7,4.154,25.3,120.011,11:21:02.824
59,0.0,26.4,51.8,0.601,1.5,119.529,29.2,0.261,31.6,3.549,34.9,3.474,25.3,119.529,11:21:03.926
60,0.0,26.4,51.8,0.587,1.5,120.841,27.7,0.248,30.9,3.474,34.7,3.738,25.3,120.841,11:21:05.038
61,0.0,28.5,51.8,0.62,1.5,119.817,27.7,0.281,31.6,2.756,34.5,3.7,25.3,119.817,11:21:06.143
62,0.0,26.4,51.8,0.621,1.5,120.436,29.2,0.319,32.0,3.285,34.5,2.605,25.3,120.436,11:21:07.247
63,0.0,28.5,51.8,0.646,1.5,120.124,27.7,0.313,31.6,3.512,34.7,3.436,26.8,120.124,11:21:08.356
64,0.0,26.4,51.8,0.573,1.5,120.074,29.2,0.333,31.6,3.512,34.5,3.965,25.3,120.074,11:21:09.459
65,0.0,26.4,51.8,0.62,1.5,120.175,27.7,0.326,31.6,2.832,34.7,4.305,25.3,120.175,11:21:10.569
