Log,sup_admixture_pump_set_flush_flowrate,sup_admixture_pump_flush_on,sup_admixture_pump_check_duration,sup_admixture_pump_set_check_flowrate,sup_admixture_pump_check_on,sup_admixture_pump_set_dosing_factor,sup_admixture_pump_set_flowrate,sup_admixture_pump_set_run,sup_admixture_pump_on,sup_admixture_pump_max_flowrate,sup_admixture_pump_no_error,sup_admixture_pump_is_ready,sup_admixture_pump_is_run,admixture_pump_set_flush_flowrate,admixture_pump_flush_on,admixture_pump_check_duration,admixture_pump_set_check_flowrate,admixture_pump_check_on,admixture_pump_set_dosing_factor,admixture_pump_set_flowrate,admixture_pump_set_run,admixture_pump_on,admixture_max_flowrate,admixture_pump_no_error,admixture_pump_is_ready,admixture_pump_is_run,concrete_pump_set_dosing_factor,concrete_pump_set_speed,concrete_pump_set_flowrate,concrete_pump_forward_on,concrete_pump_driver_error,concrete_pump_safety_grid_on,concrete_pump_power_on,concrete_pump_is_ready,concrete_pump_is_run,concrete_pump_pressure,concrete_pump_temperature,concrete_fresh_temperature,mixer_set_curved_mode_on,mixer_set_speed,mixer_set_run,mixer_motor_temperature_M2,mixer_motor_temperature_M1,mixer_pressure_funnel_inlet,mixer_temperature_funnel_outlet,mixer_torque_M2,mixer_torque_M1,mixer_speed_M2,mixer_speed_M1,mixer_is_ready,mixer_is_run,Time
19,0,False,0,0,False,100,1200,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,26.3,25.1,False,120,True,19.5,17.3,0.06677449941635132,24.0,3.51,2.57,120,120,True,True,11:03:00.104
20,0,False,0,0,False,100,1200,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,24.9,26.5,False,120,True,19.1,17.7,0.06591998338699341,24.0,2.95,2.34,120,120,True,True,11:03:01.141
21,0,False,0,0,False,100,1200,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,24.9,26.5,False,120,True,19.3,17.3,0.06714072227478027,24.0,2.83,2.83,120,120,True,True,11:03:02.180
22,0,False,0,0,False,100,1200,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,24.9,25.1,False,120,True,19.3,17.3,0.06933805346488953,24.0,2.91,1.96,120,120,True,True,11:03:03.216
23,0,False,0,0,False,100,1200,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,24.9,25.1,False,120,True,19.1,18.2,0.06787316799163819,24.0,2.27,2.34,120,120,True,True,11:03:04.254
24,0,False,0,0,False,100,1200,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,26.3,25.1,False,120,True,19.1,17.5,0.06921597719192504,26.1,2.61,2.3,120,120,True,True,11:03:05.293
25,0,False,0,0,False,100,1200,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,26.3,25.1,False,120,True,19.1,17.9,0.06250190734863281,26.1,2.0,2.72,120,120,True,True,11:03:06.330
26,0,False,0,0,False,100,1200,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,24.9,25.1,False,120,True,19.1,17.5,0.06787316799163819,24.0,2.57,1.89,120,120,True,True,11:03:07.366
27,0,False,0,0,False,100,1200,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,24.9,26.6,False,120,True,19.1,17.5,0.06884976029396057,24.0,2.76,1.51,120,120,True,True,11:03:08.403
28,0,False,0,0,False,100,1200,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,24.9,26.5,False,120,True,18.8,17.5,0.06884976029396057,24.0,2.72,1.7,120,120,True,True,11:03:09.443
