Log,mixer_motor_temperature_M2,cp_flowrate,mixer_speed_M2,cp_temperature_fresh,cp_temperature_outlet,mixer_torque_M1,ac_flowrate,mixer_pressure,mixer_motor_temperature_M1,cp_temperature,cp_pressure,mixer_torque_M2,mixer_speed_M1,Time
1,14.1,0.0,57.633,21.2,23.1,1.057,0.0,0.0,13.2,20.9,0.0,1.699,57.633,10:22:48.620
2,14.1,0.0,99.615,21.2,23.1,1.095,0.0,0.0,12.7,20.9,0.0,1.888,99.615,10:22:49.715
3,14.1,0.0,99.552,23.2,21.7,1.51,0.0,0.0,12.3,22.3,0.0,1.435,99.552,10:22:50.820
4,14.5,0.0,99.632,21.2,21.7,1.133,0.0,0.0,12.3,20.9,0.0,1.435,99.632,10:22:51.927
5,14.5,0.0,99.657,21.2,21.7,1.586,0.0,0.0,13.2,20.9,0.0,1.888,99.657,10:22:53.024
6,14.1,0.0,99.526,21.2,21.7,1.359,0.0,0.0,13.2,20.9,0.0,1.246,99.526,10:22:54.126
7,14.1,0.0,99.679,21.2,21.7,0.868,0.0,0.0,12.3,20.9,0.0,1.812,99.679,10:22:55.226
8,14.1,0.0,99.598,23.2,21.7,1.322,0.0,0.0,12.5,22.3,0.0,1.85,99.598,10:22:56.339
