Log,ac_flowrate,mixer_torque_M1,mixer_torque_M2,cp_temperature,cp_flowrate,mixer_pressure,mixer_temperature_Funnel,mixer_speed_M2,mixer_motor_temperature_M2,mixer_motor_temperature_M1,cp_pressure,mixer_speed_M1,Time
54,0.0,1.85,3.965,24.5,1.5,0.236,23.6,120.499,21.6,19.3,0.431,120.499,12:18:37.598
55,0.0,2.417,2.001,25.9,1.5,0.247,23.6,119.884,21.1,19.5,0.486,119.884,12:18:38.707
56,0.0,2.341,3.096,24.5,1.5,0.242,23.6,120.083,21.3,19.5,0.448,120.083,12:18:39.813
57,0.0,1.51,3.398,24.5,1.5,0.201,23.6,119.869,21.8,20.2,0.431,119.869,12:18:40.918
58,0.0,2.417,2.077,24.5,1.5,0.24,23.6,120.052,21.1,19.8,0.428,120.052,12:18:42.026
59,0.0,2.719,2.568,24.5,1.5,0.233,25.1,119.656,21.1,20.0,0.443,119.656,12:18:43.135
60,0.0,2.605,2.417,26.0,1.5,0.238,23.6,120.456,21.6,19.3,0.42,120.456,12:18:44.244
61,0.0,2.492,3.21,24.5,1.5,0.243,23.6,119.989,21.3,19.3,0.43,119.989,12:18:45.347
62,0.0,3.021,2.568,24.5,1.5,0.245,23.6,118.857,21.6,20.0,0.459,118.928,12:18:46.453
63,0.0,2.568,2.605,26.0,1.5,0.266,23.6,120.678,21.8,19.5,0.439,120.678,12:18:47.561
64,0.0,1.964,3.7,24.5,1.5,0.255,25.1,120.963,21.3,19.3,0.455,120.963,12:18:48.670
65,0.0,2.945,2.945,26.0,1.5,0.295,23.6,119.971,21.6,19.5,0.439,119.971,12:18:49.773
66,0.0,2.266,3.361,24.5,1.5,0.219,23.6,120.324,21.6,19.8,0.416,120.324,12:18:50.877
67,0.0,2.266,2.681,24.5,1.5,0.208,23.6,120.033,21.1,19.3,0.43,120.033,12:18:51.985
68,0.0,2.454,2.681,26.0,1.5,0.243,23.6,120.153,21.8,19.8,0.411,120.153,12:18:53.090
69,0.0,2.945,3.172,24.5,1.5,0.255,25.1,120.286,21.3,20.0,0.45,120.286,12:18:54.192
70,0.0,2.53,3.134,26.0,1.5,0.232,23.6,120.004,21.6,19.8,0.463,120.004,12:18:55.303
71,0.0,1.888,3.096,24.5,1.5,0.243,23.6,120.024,21.1,20.0,0.469,120.024,12:18:56.405
72,0.0,2.908,2.19,24.5,1.5,0.251,23.6,119.96,21.6,19.5,0.426,119.96,12:18:57.514
73,0.0,2.87,3.776,26.0,1.5,0.232,23.6,120.079,21.6,19.3,0.459,120.079,12:18:58.620
74,0.0,2.53,3.059,24.6,1.5,0.28,25.1,120.224,21.6,20.4,0.441,120.224,12:18:59.727
75,0.0,2.492,3.361,24.5,1.5,0.251,23.6,120.063,21.8,19.3,0.474,120.063,12:19:00.840
76,0.0,2.19,2.417,26.0,1.5,0.248,23.6,120.367,21.3,19.3,0.453,120.367,12:19:01.958
77,0.0,2.756,3.247,24.6,1.5,0.242,23.6,120.116,21.6,20.2,0.465,120.116,12:19:03.066
78,0.0,2.417,3.134,24.6,1.5,0.304,23.6,119.762,21.6,20.4,0.421,119.762,12:19:04.176
79,0.0,2.341,3.172,26.0,1.5,0.237,23.6,119.901,21.6,20.0,0.449,119.901,12:19:05.285
80,0.0,2.266,3.172,24.6,1.5,0.203,25.1,120.012,21.1,19.8,0.454,120.012,12:19:06.393
81,0.0,2.983,2.87,24.6,1.5,0.259,23.6,119.944,21.6,20.7,0.459,119.944,12:19:07.503
82,0.0,2.53,2.87,24.6,1.5,0.254,23.6,120.315,21.6,19.5,0.477,120.315,12:19:08.612
83,0.0,2.87,2.19,24.6,1.5,0.243,25.1,119.448,21.6,19.1,0.42,119.448,12:19:09.723
84,0.0,2.756,3.21,24.6,1.5,0.259,23.6,120.126,21.6,19.3,0.453,120.126,12:19:10.832
85,0.0,2.492,2.908,24.6,1.5,0.278,23.6,120.066,21.3,20.4,0.446,120.066,12:19:11.943
86,0.0,3.361,2.643,24.6,1.5,0.25,23.6,119.578,21.8,19.8,0.443,119.578,12:19:13.049
87,0.0,2.303,3.096,26.0,1.5,0.247,23.6,119.887,21.1,19.3,0.476,119.887,12:19:14.170
88,0.0,2.379,3.21,24.6,1.5,0.255,23.6,120.156,21.6,19.8,0.51,120.156,12:19:15.282
89,0.0,2.341,2.681,24.6,1.5,0.275,25.1,119.725,21.6,19.5,0.431,119.725,12:19:16.390
90,0.0,2.945,2.643,26.1,1.5,0.222,23.6,120.063,21.3,19.8,0.446,120.063,12:19:17.501
91,0.0,2.53,2.945,24.6,1.5,0.261,23.6,120.32,21.6,19.8,0.453,120.32,12:19:18.608
92,0.0,2.945,3.172,24.6,1.5,0.31,23.6,119.814,21.3,19.8,0.446,119.814,12:19:19.722
93,0.0,2.794,3.549,26.0,1.5,0.264,23.6,120.866,21.3,19.5,0.441,120.866,12:19:20.831
94,0.0,2.681,3.361,24.6,1.5,0.295,23.6,119.79,21.6,19.5,0.416,119.79,12:19:21.935
95,0.0,2.53,2.605,24.6,1.5,0.242,23.6,119.97,21.6,20.4,0.448,119.97,12:19:23.040
96,0.0,2.794,2.794,26.1,1.5,0.173,23.6,120.015,21.3,20.4,0.47,120.015,12:19:24.148
97,0.0,3.134,2.983,24.6,1.5,0.259,25.1,119.857,21.3,19.8,0.454,119.857,12:19:25.254
98,0.0,2.681,3.587,24.7,1.5,0.275,23.6,120.282,21.6,19.3,0.45,120.282,12:19:26.366
99,0.0,3.285,3.512,24.6,1.5,0.25,23.6,119.629,22.0,19.3,0.482,119.629,12:19:27.473
100,0.0,3.625,2.454,24.6,1.5,0.25,23.6,119.853,22.3,19.8,0.476,119.853,12:19:28.576
101,0.0,2.492,3.512,24.7,1.5,0.264,23.6,120.241,21.6,20.0,0.476,120.241,12:19:29.714
102,0.0,2.492,2.681,26.1,1.5,0.266,23.6,121.376,21.8,19.8,0.463,121.376,12:19:30.824
103,0.0,2.417,2.53,26.1,1.5,0.242,23.6,119.718,21.6,19.8,0.483,119.718,12:19:31.961
104,0.0,3.512,2.53,24.7,1.5,0.236,25.1,119.159,21.8,20.4,0.515,119.159,12:19:33.071
105,0.0,2.605,3.549,24.7,1.5,0.295,23.6,120.044,21.1,20.2,0.45,120.044,12:19:34.178
106,0.0,2.379,3.285,24.7,1.5,0.31,23.6,120.835,21.3,20.2,0.431,120.835,12:19:35.284
107,0.0,2.228,2.87,24.7,1.5,0.265,25.1,120.014,21.6,19.8,0.529,120.014,12:19:36.407
108,0.0,4.04,2.303,24.7,1.5,0.276,23.6,119.511,21.8,19.8,0.453,119.511,12:19:37.513
109,0.0,2.53,4.305,24.7,1.5,0.242,23.6,120.009,21.6,20.0,0.482,120.009,12:19:38.610
110,0.0,2.719,3.549,24.7,1.5,0.245,23.6,119.794,21.6,20.2,0.511,119.794,12:19:39.719
111,0.0,2.454,4.38,24.7,1.5,0.256,23.6,120.098,21.3,20.7,0.446,120.098,12:19:40.842
112,0.0,2.983,3.285,26.1,1.5,0.237,23.6,119.481,21.8,20.4,0.441,119.481,12:19:41.970
113,0.0,3.361,2.643,24.7,1.5,0.276,25.1,119.956,21.8,20.0,0.443,119.956,12:19:43.075
114,0.0,3.776,3.021,24.7,1.5,0.233,23.6,119.539,21.3,20.2,0.464,119.539,12:19:44.194
115,0.0,3.436,3.625,24.7,1.5,0.256,23.6,120.43,21.6,20.2,0.453,120.43,12:19:45.323
116,0.0,3.021,3.323,26.2,1.5,0.25,23.6,119.685,22.0,19.5,0.486,119.685,12:19:46.449
117,0.0,2.454,5.551,24.7,1.5,0.25,23.6,120.52,21.6,20.4,0.477,120.52,12:19:47.554
118,0.0,2.492,3.474,24.7,1.5,0.261,23.6,120.453,22.0,19.8,0.464,120.453,12:19:48.659
119,0.0,2.945,3.512,24.7,1.5,0.275,23.6,120.394,21.6,19.8,0.446,120.394,12:19:49.752
120,0.0,2.605,3.852,24.7,1.5,0.313,25.1,120.261,21.6,20.2,0.481,120.261,12:19:50.876
121,0.0,4.267,3.21,26.2,1.5,0.227,23.6,118.602,21.8,19.8,0.463,118.602,12:19:51.982
122,0.0,3.814,4.342,26.2,1.5,0.271,23.6,119.678,21.6,19.8,0.454,119.678,12:19:53.120
123,0.0,2.719,3.587,24.7,1.5,0.254,25.1,120.022,21.8,20.4,0.468,120.022,12:19:54.223
124,0.0,3.323,3.134,24.7,1.5,0.284,23.6,120.16,21.8,20.4,0.464,120.16,12:19:55.326
125,0.0,2.417,4.984,24.7,1.5,0.243,23.6,119.823,22.0,20.4,0.482,119.823,12:19:56.432
126,0.0,2.681,3.549,24.7,1.5,0.255,23.6,120.599,22.3,20.2,0.433,120.599,12:19:57.538
127,0.0,2.908,3.663,26.2,1.5,0.238,23.6,120.14,22.5,20.2,0.448,120.14,12:19:58.646
